0	Langues
1	{action}. Module : {module}. La déclaration, les notes d'origine et l'implémentation ci-dessous précisent les unités, les terminateurs et les conditions de retour.
2	Code de sortie de compilation : {build} / État de l'exécution : {runtime}
3	Capture d'émulateur pour {id}
4	{count} entrées. Ouvrez une entrée pour consulter sa syntaxe, ses arguments, les notes source et son exemple. Les fragments d'appel nécessitent une initialisation autour du code ; ce ne sont pas des ROM autonomes. Les nouveaux exemples montrent comment transmettre des valeurs préparées à l'API, sans constituer une validation sur le périphérique.
5	. Pour les tableaux et pointeurs, prévoyez un espace suffisant et conservez-le valide jusqu'à la fin du traitement.
6	. Ajoutez les unités qui fournissent les autres fonctions appelées.
7	. Les notes d'origine et les conditions de retour de l'implémentation définissent la signification des valeurs de réussite et d'échec.
8	000 au départ ; A incrémente une fois par appui
9	001 ; aucun rappel enregistré
10	001 ; exemple numérique de réserve, sans composition de projectiles sur l'arrière-plan
11	001 ; le journal de trace contient HP=42
12	042 après un pas ; cet exemple utilise des pixels entiers
13	042 et un son à onde rectangulaire
14	042 et un bref son à onde rectangulaire
15	042 en violet sur fond blanc ; mode CGB
16	042 : coordonnées en pixels entiers
17	042 : x du monde=52 moins x de la caméra=10
18	042 ; copie de données en ROM fixe, banque 0
19	042 ; intégration explicite dans le jeu à l'aide des constantes de l'en-tête
20	042 ; l'historique contient (20,30)
21	042 ; trois octets valant chacun 42
22	255 si la liaison est déconnectée ; 000 en cas de délai dépassé ; valeur du correspondant si connecté
23	4 en (3,8)
24	Un sprite à l'écran
25	HELLO WORLD et 042
26	Majuscules, minuscules, chiffres et les 30 glyphes de ponctuation fournis
27	Lettre A à la position du sprite
28	Le titre se déplace vers la gauche lorsque SCX augmente
29	Le titre défile horizontalement
30	Valeur de 000 à 009 ; la même graine reproduit la suite
31	Mouvement et collisions en 2D
32	Physique des AABB en 3D
33	Identifiants de ressources et descripteurs de données
34	Arrière-plan, fenêtre et défilement fractionné
35	Accès au code et aux données tenant compte des banques
36	Types entiers de base
37	Plateaux, listes de coups et annulation
38	Réserves de projectiles, éventails, impacts et frôlements
39	État des boutons, appuis, relâchements et répétition
40	Fonctions C pour NMI, OAM et transferts PPU
41	Palettes BG et OBJ de la CGB
42	Numéros et attributs de tuiles CGB
43	Physique des cercles
44	Rendu filaire couleur pour CGB
45	Fonctions intrinsèques du compilateur
46	Communication DMG-07 avec horloge externe
47	Opérations directes sur le PPU
48	Opérations sur disque FDS
49	Code d'overlay FDS
50	Déclarations de sauvegarde FDS
51	Audio FDS à table d'ondes
52	Calcul entier rapide
53	Interface intrinsèque de calcul en virgule fixe
54	Tableaux d'acteurs du jeu
55	Macros d'opérations pour les jeux
56	Répétition d'un bouton maintenu
57	Images composées de plusieurs sprites
58	Balayage du clavier
59	Interface d'entrée du pistolet optique
60	Chargement de fichiers FDS
61	Tables de correspondance
62	Interface d'entrée et de sortie MIDI
63	Banques et interruptions du mapper
64	Entrée microphone
65	Lecture musicale par interruption VBlank
66	Musique, effets sonores et commandes audio
67	Entrées des manettes NES
68	Palettes NES
69	Ressources et placement des tables de noms
70	Attributs des tables de noms
71	Opérations sur la copie de travail de l'OAM
72	Allocation d'OBJ, placement, métasprites et animation
73	Réserves d'objets fondées sur des tableaux fixes
74	Déclarations d'affichage PPU
75	Calcul en virgule fixe Q8.8 et rectangles
76	Mises à jour et transferts VRAM en file
77	Enregistrements en RAM et assertions
78	Commandes de ROB
79	Nombres aléatoires, texte, cartes, sauvegardes et services RPG/ADV/SLG
80	Tests de collision rectangulaire et autres formes
81	Opérations rectangulaires sur les cartes de tuiles
82	Tampons circulaires pour l'historique des positions
83	Enregistrement, changement et mise à jour des scènes
84	Tables de défilement par bandes et lignes
85	Communication série et paquets logiques
86	Implémentation de la rotation des sprites
87	Rotation des sprites avec priorités
88	Démarrage, compteurs d'images, attentes et interruptions
89	En-tête de regroupement de la bibliothèque
90	Files VRAM traitées par la NMI
91	Extension audio VRC6
92	Audio FM VRC7
93	Rendu filaire pour DMG
94	Coordonnées du monde et zones visibles
95	Rendu filaire monochrome de 128×120 pour DMG
96	Avancer d'une étape de traitement
97	Ajouter des données à la suite
98	Appliquer les mises à jour accumulées
99	Effacer le contenu ou l'état
100	Copier des données
101	Créer les données de dessin
102	Désactiver une fonction
103	Activer une fonction
104	Remplir une région
105	Obtenir un nombre d'éléments
106	Charger des données
107	Effectuer l'opération indiquée par les arguments
108	Préparer l'état initial
109	Lire une valeur
110	Retirer et récupérer des données
111	Réinitialiser l'état
112	Obtenir une valeur ou un état
113	Sauvegarder des données
114	Définir une valeur ou une condition de fonctionnement
115	Actualiser l'état
116	Attendre une condition
117	Écrire une valeur
118	Faire avancer la musique, les effets et les fondus, normalement une fois par image.
119	Allouer un emplacement de sprite libre. Vérifier la valeur d'échec avant d'utiliser le résultat.
120	Appliquer les mises à jour en file au PPU, normalement pendant la période sûre de NMI.
121	Modifier l'état de pause du pilote de musique et d'effets. Le jeu doit suspendre séparément sa propre logique.
122	Valider les mises à jour VRAM préparées pour leur traitement par la NMI.
123	Convertir un entier en Q8.8. L'entier 1 est représenté par 256.
124	Copier len octets de la source vers la destination. L'appelant doit fournir un espace suffisant et des banques accessibles.
125	Désactiver le rendu avant les mises à jour directes du PPU, notamment le chargement initial.
126	Diviser des valeurs Q8.8. Éviter les diviseurs nuls et les valeurs hors de la plage représentable.
127	Extraire la partie entière d'une valeur Q8.8. Consulter l'implémentation pour l'arrondi des valeurs négatives.
128	Remplir une région avec un octet répété. len est un nombre d'octets.
129	Obtenir la banque de placement d'un symbole. Cela diffère du passage d'une adresse numérique arbitraire.
